subject,hours,credits
Seminar Energy &amp; Sustain Engrg,61,5
Chamber Singers,30,5
Intro to Intl Relations-ACP,68,5
Functional Analysis,69,6
Biogeography,58,4
Seminar in Anthropology,51,5
Wildlife Medicine,47,6
Principles of Taxation,36,6
Particle Physics I,34,6
"Language, Technology &amp; Society",54,6
The Sandage Project,70,6
ABE Principles: Bioprocessing,69,5
School Intrnshp Spch-Lang Path,66,6
Environmental Soil Physics,48,6
Statistical Modeling I,46,4
Introduction to Islam,32,5
Topics in Lang &amp; Culture,46,4
Neuro &amp; Molecular Pharmacology,60,4
Indian Cinema in Context,33,4
Pediatric Surgery,48,4
Advanced Jazz Technique,29,4
Field Study and Thesis Seminar,57,4
Exploring General Studies,74,5
Orthopedic Trauma,72,6
CS Team Project,39,4
Field Geology,44,4
"Food Animal Production, Management, and Evaluation",40,4
The Holocaust in Context,43,5
Senior Recital,70,5
Nuclear Power Engineering,27,4
Issues in Sociology,56,5
Beginning Sculpture,87,6
UG Research Project,84,6
Aerospace Computer-Aided Design,34,6
Industrial Control Systems,43,4
Latin America Cultural Studies I,90,6
Classical Performance Practice,33,4
Mathematical Methods II,58,4
GIS II: Spatial Prob Solving,35,4
Purchasing and Supply Mgmnt,48,5
Advanced Japanese II,51,6
Mathematical Physics II,49,5
Interdisciplinary Approaches to Neuroscience II,61,6
Exploring Arts and Creativity,73,5
"Management in Recreation, Sport and Tourism",62,4
Exotic/Wild Animal Diag Path 2,61,4
Modern Asian and African Literatures,90,6
IT for Networked Organizations,86,6
Business Side of Engineering,71,5
Senior Thesis Production,33,5
Newsgathering Across Platforms,63,6
Computational Astrophysics,57,5
Advanced Data Visualization,40,6
Topics in Sociology,34,5
Introduction to Database Concepts &amp; Applications,62,4
Making Dances,26,4
Planning Internship,55,6
Seminar in Music Education,53,4
Seminar for Advanced Study of Education,43,4
Vascular and Interventional Radiology,60,4
Big Data Analytics in Finance for Predictive and Causal Analysis,83,6
History of Sexuality in U.S.,67,5
Popular Music Studies,82,6
Archaeology of South Asia,60,4
"Workers, Unions, and Politics",83,6
Instructional Strategies and Techniques for Information Professionals,41,6
Contemp Compos Techniques,46,5
"Event Implementation and Evaluation in Recreation, Sport and Tourism",46,4
Climate Aware Physicians,61,5
Seminar in Human-Centered Design &amp; Systems,38,6
Food Supply Disease Management,42,6
Electromagnetic Fields II,56,4
Individual Honors Study,57,5
Introduction to Information Sciences,55,4
Convective Heat Transfer,58,6
Introduction to Computing,34,5
Large Sample Theory,36,6
Business Intelligence,89,6
Introduction to Diversity &amp; Equity,52,5
Art and Cultural Property Law,74,6
"The Architecture of the United States, c.1650 to Present",75,5
"Food, Culture, and Society",46,6
Clinical Genetics,33,5
"Race, Gender and Sexuality Issues",60,6
Advanced Topics in Book History,60,4
"Financial Resource Management in Recreation, Sport and Tourism",41,4
Nuclear Materials,57,5
Event Management,26,4
Nature and American Culture,49,5
Conservation Biology,33,4
"Language, Mind, and Brain",34,5
Graduate Level Violin,64,5
Engineering Ambassadors Leadership Training,40,6
"Brain, Learning, and Memory",58,5
"Plants, Pathogens, and People",74,5
Advanced Special Problems,47,4
The US Constitution II,33,5
Capstone Research Project,68,6
Ancient Greek Civilization,35,4
General Chemistry II,73,6
Human Sexuality,76,6
ESE Capstone,41,6
Accelerated Fundamentals of Algorithms II,39,5
Nat Sec Afrs/Prep Actv Duty II,55,5
Managing Diversity Globally,54,4
Active Microwave Ckt Design,34,4
"Environment, Agric, &amp; Society",62,6
Great Books of Journalism,84,6
Spec Topics African-Am Studies,78,6
21st Century Dramaturgy,76,6
Nuclear Weapons &amp; Arms Control,76,6
Computational Advertising,66,5
Intermediate Chinese I,61,6
Global Supply Chain Management,88,6
Instrumental Chem Systems Lab,73,5
Individ Topics in Music Theory,50,5
Writing Workshop in Fiction,48,4
The US Supreme Court,40,6
Production Practicum II,69,5
Animal Sciences Seminar,48,5
Thesis,30,5
Statistical Inference for Engineers and Data Scientists,86,6
Adolescent Development,34,6
Graduate Level Euphonium,34,4
Shakespeare,36,6
Strategic Sourcing,44,6
Farm Management,67,6
Special Projects,73,6
Graduate Internship Experience,55,4
Intro to Sport Psychology,61,6
Topics in International Business,71,6
Stars and Galaxies,45,4
Introductory Independent Study,41,4
Behavioral Neuroscience Lab,49,5
Product Design and Development,52,4
Cinema Decades,63,5
Translation and Interpreting Theory &amp; Practice,49,6
Economic Statistics I,46,5
Advanced Flute,61,4
Univ Physics: Thermal Physics,53,6
Advanced Harp,27,4
Organ Literature,36,6
Latina/o Migration,34,5
Social Work Research Methods,44,4
Advanced Planning Theory,67,5
Topics in Societal and Ethical Impacts of Computer Technology,52,4
History of Mexico from 1519,56,6
Statistical Analysis,40,4
Child Psych,40,5
Diversity in Higher Education,49,4
Stone Tool Technology Analysis,38,6
Real Analysis,60,5
Independent Study and Research,62,4
Health Program Evaluation,38,6
Seminar Lit Themes,63,5
Social Psych Methods Lab,75,5
Senior Design I,68,5
Bioinformatics,51,4
Theory &amp; Practice in Children's and Youth's Composition,69,6
Internship in Teaching Comm,57,4
Intro to Linguistic Structure,32,5
Wildlife Conservation in the 21st Century,87,6
Principles of Marketing,40,5
Social Welfare Pol and Svcs,30,5
Science of Food Preparation,44,4
Introduction to Network Information Systems,69,6
Honors Senior Thesis II,74,5
Cello,35,5
Secondary World Language Teaching,85,6
Capstone Individual Study,59,6
Dance Documentation,33,5
Employee Compensation and Incentives,71,5
Jazz Saxophone,37,5
Construction Optimization,44,6
Data Preparation for Accounting,79,6
Special Problems in HDFS,35,5
Urban Planning Research,73,5
Prosem Spch &amp; Hear Sci,38,6
Third Year Russian II,31,4
Special Topics in Turkish,59,5
Loss Data Analytics &amp; Credibility,57,5
Characteristics &amp; Eligibility,52,5
Intro Computing: Non-Tech,61,6
Principles of Dairy Production,84,6
Research Seminar,34,6
Topics Latina/o Studies,54,6
Advanced Filmmaking Studio,29,4
Advanced Trombone,45,4
Chamber Music,75,5
Perf Pract February I,50,5
Advanced Topics in Marketing,61,4
Introduction to Energy Sources,53,6
Survival Analysis,50,5
Advanced Skeletal Biology,75,6
ABE Principles: Bioenvironment,69,6
Rudiments of Music Theory I,38,6
Communicating Public Policy,59,4
Introduction to Arab American Studies,61,5
Wind Power Systems,75,6
Human-Computer Interaction,34,5
Mergers &amp; Acquisitions Topics,69,5
Clinical/Abnormal Psych Lab,52,4
Sociology of Law,80,6
Creative and Information Economies,28,4
Surface Water System Chemistry,72,6
Water Technology and Policy,44,5
Visual Media Effects,37,6
Programming Language Design,61,6
Intermediate Latin,57,6
Middle Childhood,68,5
Doctoral Projects,42,6
Business Analytics II,36,4
Database Design and Prototyping,63,5
Statistical Consulting,46,5
Intro to Japanese Animation,31,5
Introductory Microbiology,87,6
Capstone: Issues in Professional Preparation,66,6
Genetic Engineering Lab,86,6
Env and Plant Ecosystems,90,6
Analog Circuits &amp; Systems,42,5
Advanced Topics in Programming Systems,31,4
Intro to GIS Systems,76,6
Behavior of Domestic Animals,36,5
Comparative Political Behavior,49,6
Advanced Topics in Organization &amp; Representation,63,5
The Global Food Production Web,45,4
Psych of the Infant,54,4
Construction Productivity,65,6
Numerical Methods I,45,4
Intro to Food Supply Medicine,47,5
Int/Adv Ballet Tech Elect,38,4
Environmental Writing,33,5
Elementary Course in a Less Commonly Taught Language II,81,6
Middle Eastern Societies &amp; Cultures,65,5
Introduction to Anthropology,81,6
Integrated Health Care Policy and Services,50,4
Intro to Research Methods AfAm,53,4
UG Research Assistance,46,4
Advanced Diabetes Management,78,6
School &amp; Community Experiences,54,5
Choreographic Laboratory Advanced,43,4
Fixed Income Portfolios,31,5
Seminar Philosophy of Logic,59,4
Intermediate Hindi II,35,5
Exper in Kinesiology Research,52,5
Investigating the Earth’s Interior,47,5
Senior Project Showcase,76,6
Vet Diagnostic Path 2,50,4
Financial Reporting Standards,57,4
Intro to Philosophy-ACP,57,6
Cities in a Global Perspective,47,5
Health Services Financing,82,6
Introduction to Film,44,6
Stochastic Processes and Applications,83,6
Acting Studio IV: Voice,86,6
Comm Partners &amp; Health,38,5
Graduate Level Piano,42,4
Adv Leisure Research Methods,26,4
Economics of the Workplace,48,6
Hierarchical Linear Models,51,4
Transportation Engineering,47,6
Industrial Design VI,30,5
Calculus,39,4
Ornithology,26,4
Introduction to Computer Systems,36,4
Univ Physics: Quantum Physics,47,4
Experimental Graduate Courses,36,4
Laboratory Rotation II,38,6
Introduction to Game Studies and Design,43,5
Modern France,70,5
Traditions in Philosophy of Education,49,4
Mental Health Pol and Svcs,36,6
Environmental Microbiology,54,4
Sustainable Design Principles,79,6
Mixed Method Inquiry,36,5
"Race, Gender &amp; Power",40,4
Senior Capstone Seminar,89,6
Honors Thesis,65,5
Historiography of Religion in America,48,5
Infancy &amp; Early Childhood,61,4
Individual Study Senior,38,4
Topics in Actuarial Science,55,6
Development of Ancient Cities,48,6
US Racial &amp; Ethnic Politics,51,6
Elementary Chinese II,33,4
Philosophy of Psychology,58,4
Undergrad Research or Thesis,60,6
"Contemporary Issues in Recreation, Sport and Tourism",62,6
Capstone Experience,44,6
Economics at Illinois,37,4
Resistance Movements,58,6
German for Economics,39,5
Environment and Society,38,4
International Financial,37,5
Public School Policy/Services,69,5
Advanced Cement Chemistry,82,6
Graduate Capstone Project,52,5
Exploring Digital Info Technol,33,5
Intermediate Spanish,69,5
Psychology of Advertising,87,6
Intro Bio Control Systems,40,5
Discussions in NRES,58,4
Off-Road Equipment Management,89,6
Perf Pract Student Works I,86,6
Research Seminar: China,40,6
"Writing about Literature, Text, and Culture",51,4
Special Topics in Linguistics,89,6
Chemical Reaction Engineering,62,6
Public Comm in Everyday Life,71,5
Expressive Drawing,53,4
Green Electric Energy,29,4
Workshop and Research Seminar,51,5
Introduction to Printmaking,60,4
Human Anat &amp; Physiol Lab II,30,4
Grad. Jazz Improv. II,56,4
Politics of Education,60,6
Clinical Research,69,6
Information Consulting,39,6
Microbes and the Anim Indust,69,5
Career Development:Internships,76,6
Data Analytics for Management Accounting,46,4
Introduction to Computer Science II,48,4
Special Topics in Film Studies,26,4
Urology Sub-Internship,43,5
Sustainability Experience,63,6
HDFS Career Planning &amp; Preparation,53,4
Advertising and Brand Strategy,38,6
Media Law,40,5
Elmnts Semantics &amp; Pragmatics,68,6
"Race, Gender, and Information Technology",29,4
Augmented and Virtual Reality,39,4
Devel &amp; Disorders Phonol Artic,68,5
Senior Honors Seminar II,43,4
PSM Industry Seminar I,54,5
Typographic Systems,72,6
Management Internship,45,6
Intro Partial Diff Equations,71,6
Radiation Protection,50,5
Seminar in Francophonie,29,4
Investigative Journalism,68,6
Reinforced Concrete I,42,6
Elementary Hindi-Urdu II,50,5
Special Topics,47,5
Culture in the Classroom,86,6
Trustworthy Machine Learning,90,6
Colloquium in EALC,61,4
Postcolonial Theory and Methodology,55,6
Medieval and Early Modern Literature,47,6
Data Analytics Applications in Accountancy,88,6
Independent Lab Investigations,39,4
Zooarchaeology,59,5
History of World Landscapes,46,4
Capstone Seminar,35,5
Education Abroad,81,6
Audio Journalism,74,5
Adult Intensive Care,59,6
Readings in Hispanic Texts,51,6
Practicum in Supply Chain Mgt,59,5
Black Literature in America,51,5
Seminar in Musicology,55,6
Regulation of Metabolism,31,4
Quantitative Finance II,36,5
CHBE Internship,53,4
"Inequality, Public Policy, and U.S. Families",30,5
Transfer Advantage,84,6
Numerical Analysis,66,6
Subatomic Physics,43,5
Cloud Physics,69,6
Biosecurity in Livestock Systems,62,4
Community Planning and Engagement,70,5
PSM Internship,64,5
Seminar Lit &amp;Other Disciplines,50,4
Global St Foundation Seminar,61,5
Research Methods &amp; Analysis,62,6
Interviewing: The Art and Science of Effective Questioning,38,5
Equine Veterinary Husbandry,67,6
Politics of International Treaties,50,6
Economics of Human Resources,83,6
Intro to Ethics-ACP,45,5
Collaborative Performance,47,6
Senior Engineering Project II,72,5
Vocal Literature,70,6
Humanity in the Food Web,62,4
Research in Music Education,76,6
Transport &amp; Flow in Bioengrg,69,6
Statistical Data Management,53,4
Applied Portfolio Management,88,6
Intermediate Stand Arabic II,42,5
Organizational Communication &amp; Diversity,37,4
Light,30,5
Algebra,51,6
Applied Linear Algebra,76,6
Approaches to Culture,39,6
Modeling Heterogeneity,59,5
Aerospace Systems Design II,55,4
Development Theories,44,4
Topics in Info Foundations,69,5
Supp WW Inst: Oboe,32,5
Randomized Algorithms,51,4
Current Art Issues Seminar,60,5
"Data Management, Curation &amp; Reproducibility",61,4
Leadership &amp; Professional Development,45,4
Radioactive Waste Management,50,5
Wind Instrument Literature,70,5
Doctoral Wind Band Conducting,43,6
Computer Microarchitecture,64,5
Advanced Guitar,49,5
Intro to Social Statistics,53,5
Yoga Practicum,60,6
Planetary Systems,51,5
Linear Algebra for Biomedical Data Science,42,4
Numerical Thermo-Fluid Mechs,67,6
Hip Hop Feminism,63,6
Topics in Nutrition Research,45,6
Dietetic Internship II,76,6
Professional Responsibility and Ethics for Accountants,45,5
Colloquium,74,6
Introduction to Scenic Design,35,4
Applied Food Microbiology,79,6
Equilibrium and Welfare Econ,66,6
Emerging Infectious Diseases,56,6
Navigation/Naval Operations I,56,6
Scientific Writing for Astronomy,88,6
Professional Development,64,6
Honors Study Abroad Retrospect,60,6
Special Topics Senior,65,5
Introduction to the HIV Epidemic: A Clinical and Social Medicine Elective,40,5
Adv Clin Assess &amp; Interviewing,30,4
Environmental Site Analysis,31,5
Inorganic Chemistry,47,6
Graduate Jazz Double Bass,31,4
Introduction to Design Thinking,77,6
Making Things,49,4
Saxophone Ensemble,81,6
Gerontology,48,4
The Biology of Dinosaurs,50,6
Linear Algebra for Data Science,51,6
Loss Models,90,6
Jazz Arranging IV,69,5
Special Topics Seminar,90,6
Intro to Organizational Comm,53,4
Electromagnetic Fields I,44,4
Freshmen Seminar,59,6
Advanced Topics in Librarianship,48,5
Advanced Photography,61,4
Journalism Ethics &amp; Diversity,71,6
Jazz Combo,60,5
Ambulatory Cardiology,67,5
Statistical Computing,88,6
Adult Reconstruction - Hip and Knee,56,4
Chado (The Way of Tea),46,6
Math for Food Science,37,4
Intro Latina/Latino Studies,38,4
Facilitation Skills,69,5
Contemporary Animal Issues,64,6
Youth Services Librarianship,46,4
"Theories of Diversity, Inequality, and Social Change",38,6
SW Practice with Child/Adol,63,6
Playwrights' Workshop,46,5
Advanced Graduate Seminar,72,6
Independent Study or Research,52,4
Trial Advocacy,43,6
Animal Ethics,47,6
Function and Metabolism of Essential Fatty Acids and Cholesterol,51,4
Artist Diploma Recital,35,4
Rocket Propulsion,48,6
Multinational Management,82,6
Geometric Design of Roads,44,5
Research Experience in Psych,35,5
Disability in American Society,62,5
Black Men and Masculinities,41,5
Gender and Representation,63,5
Geography &amp; GIS Internship,71,5
Global Youth and Citizenship,45,4
MFA Prof Practice Seminar,86,6
Theoretical Biology + Models,60,6
Special Topics in Scan Studies,67,5
Frontiers in Technology,59,6
Data Analytics Foundations for Accountancy,59,5
"Contact Improvisation for Actors, Musicians and Dancers",37,5
Social Research Methods,41,6
Advanced Lighting Seminar,51,4
Grimm's Fairy Tales in Context,50,6
Neurosurgery I,46,5
"Recreation, Sport, and Tourism in Modern Society",59,4
Int Contemp Modern Tech Elect,59,5
Sustainable Design Internship,53,4
Advanced Jazz Percussion,54,4
Real Estate Development Fundamentals,39,6
Exploring Paris,64,5
Capstone Group Research Project,49,4
Special Topics Mol Cell Biol,56,4
Molecular Genetics,55,4
Environmental Economics,78,6
Theory of Interest,90,6
Design and Methodology in Linguistic Research,52,4
Unit Operations Laboratory,55,5
Topics in Ecology &amp; Evolution,53,4
Quantum Mech and Spectroscopy,74,6
Chicanas&amp;Latinas: Self&amp;Society,58,5
Translating Your IB Degree Into Career Success,42,6
River Morphodynamics,62,5
Advanced Physical Practice,63,5
Experiential Learning in MCB,54,5
Intro to Political Philosophy,72,6
Criminal Justice System,48,5
Advanced Special Topics in Advertising,57,6
Race and Mixed Race,62,6
Developmental Pediatrics,32,4
Study Abroad,60,5
Introduction to Fashion,31,5
Euphonium,78,6
Physical Chemistry Principles,61,5
Social Movement Communication,52,4
Deterministic Models in Optimization,69,5
Synthesis Laboratory,35,4
Oral &amp; Maxillofacial Surgery II,33,5
Research in Geography,86,6
Stat for Mgt Decision Making,37,4
Spanish Cultural Studies II,36,4
Communicating Agriculture,32,5
Business Policy and Strategy,30,5
Health Technology Capstone Development,38,4
Child Development &amp; Technology,26,4
Programming Languages &amp; Compilers,62,6
Design: Detail and Architectonics,33,4
Research Methods in Crop Sciences,56,6
Data Science Exploration,54,6
A Systems-Based Approach to the Operation of Livestock-Based Food Production Systems II,36,4
Monetary Economics and Policy,55,6
Diagnostic Cytology,47,4
Principles and Methods of Teaching Psychology,54,6
Advanced Clarinet,35,4
Construction Data Modeling,60,6
Marketing in Our New Digital World,44,5
Finite Element Analysis,71,5
Leadership and Social Change,34,5
Soil Nutrient Cycling,72,6
Int/Adv Ballet Tech Core,86,6
Doctoral Seminar in Music Education,34,4
Instability and Transition,83,6
Biotechnology in Agriculture,48,4
Spreadsheet Models and Applications,44,6
Theories of Attention,90,6
Women's Health,39,4
Advanced Topics in Information Services,61,5
Seminar in Bilingualism,40,4
Parallel Progrmg: Sci &amp; Engrg,38,4
Architectural Practice,73,5
Neurocardiology,33,5
Developmental Child Psych Lab,33,4
Kinetic Processes in Materials,65,5
Design of Structural Systems,31,5
Mythology of Greece and Rome,34,4
"Class, Culture and Society",54,4
Introduction to Cultural Analysis: French Identities,41,5
Engineering Materials,37,6
Undergraduate Open Seminar in Computer Science,34,4
Hospitality Management: Professional Issues,35,4
Community Informatics Studio,36,4
Introduction to Horticulture,32,5
Introduction to Digital Media Production,79,6
Advanced Farm Management,39,4
Beginning Topics GWS,45,5
Technology and Management: The Basics,71,6
Intro to Fiction-ACP,43,5
Tech and Advertising Campaigns,59,6
Ethical Theories,65,5
Electronic Music Synthesis,69,5
International Business,50,4
Introductory Biochemistry,68,6
Plastic and Reconstructive Surgery,61,5
Introduction to Somatics,37,6
Introduction to Data Science,60,4
Research Methods in NRES,47,5
Elementary Turkish II,72,6
Money and Banking,48,6
Intro Media/Cinema Topics,38,4
Introduction to Bioengineering,89,6
Intro to Clin-Comm Psych II,56,5
Advanced Turkish II,86,6
Environmental Psychology,55,5
Monetary Policy,36,4
Dissertation Design Seminar,60,5
Simulation,38,5
Physcs &amp; Modeling Semicond Dev,57,6
Diversity in the Workplace,33,5
The Basics of Game Design,43,6
Collaborative Leaders in Special Education,55,4
Special Problems in Architectural History and Theory,28,4
Spec Topics in Art History,39,4
Ethics and Conflict in Zoological Medicine,39,6
Sem Spanish Synchronic Ling,44,6
Data Mining,31,4
Geodynamics,32,4
Abstract Linear Algebra,83,6
"Startups: Incorporation, Funding, Contracts, &amp; Intellectual Property",51,4
Special Topics in Advertising,49,5
Introduction to Shakespeare,71,6
Sexualities,72,5
Graduate Level Trombone,28,4
Leading People and Effective Communication II,82,6
Advanced Topics in Preservation &amp; Tech Services,39,6
Infectious Disease,38,6
Advanced Equine Lameness,34,4
Microbiology,49,4
Arch Professional Internship,75,5
Seminar in Japanese Aesthetics,48,4
Art Since 1940,26,4
Jazz Trombone Ensemble,36,4
Technology Entrepreneurship,82,6
Advanced Interaction Design,36,4
Algorithms,46,4
Harpsichord,31,4
Introduction to the Video Game Development Process,70,5
Advanced Practicum in HDFS,56,4
Mesoscale Dynamics,34,4
Steel Structures I,66,6
Senior Engineering Project I,60,4
Ug Honors Research or Thesis,51,5
Diagnostic Radiology and Non-Cardiac Nuclear Medicine,68,5
Addiction Medicine,39,4
Intro Asian American Studies,49,5
Children's Movement,26,4
Investigative Approach to Elementary Mathematics Instruction,56,4
Cognitive Psych,44,4
Practicum IV,52,4
"Art, Design, and Society",40,6
Advanced Topics in Literature and Culture,79,6
Marketing Management,52,6
Graduate Site Design Studio,78,6
Fundamentals of Fluid Dynamics,57,6
Polymer Science &amp; Engineering,48,4
Calculus III,37,4
Advanced Hindi II,56,6
Little Bits to Big Ideas,27,4
Advanced Community Projects,90,6
Contemporary Movies,29,4
Physical Biochemistry,61,5
Nutrition and the Life Cycle,57,4
"Immigration, Health &amp; Society",73,5
Gender Communication,37,6
Big Graphs and Social Networks,63,5
Intro to African American St,72,5
Writing Brazilians into the U.S.,35,6
Inter Macroeconomic Theory,42,6
Experimental Microbiology,60,5
Drawing and Modeling,41,6
Fluid Power Systems,41,6
Interdisciplinary Design Proj,59,5
Intro Hist Interpretation,53,6
Educational Practice in Secondary Education,49,5
Multicultural Counseling,50,5
Grp Instr Pno for Mus Maj II,73,6
Computer Organization &amp; Design,63,5
Theory of Probability I,31,4
Premodern Spanish Literatures &amp; Cultures,49,6
Environmental Engineering,32,5
Plants and Global Change,48,4
Queer Visibility,31,4
Trauma Informed Social Work with Children and Adolescents,59,5
Islamic &amp; S Asian Landscapes,58,6
Groundwater Modeling,89,6
Seminars and Workshops,28,4
Phenomenology,53,5
Psychophysiology in Ex &amp; Sport,57,6
Thermal &amp; Statistical Physics,53,6
Techniques of Remote Sensing,64,5
LAS Study Abroad,66,5
East Asian Civilizations,83,6
Hydraulic Analysis and Design,87,6
Basic Discrete Mathematics,86,6
Differentiable Manifolds II,26,4
Exotic/Wild Animal Diag Path 1,61,5
Methods of Data Science,55,4
Family Medicine Continuity Clinic,57,6
Bariatric Surgery,58,4
Intermediate Dynamics,58,4
Advanced Piano,44,4
Design Communications II,37,6
"Climate Analysis, Variability, and Prediction",84,6
Anatomy,38,4
Materials in Electrochem Syst,55,4
Medieval Civilization,37,6
CHBE Profession,33,5
Adv Prof Internship in ACCY,55,4
ISE Undergraduate Seminar,86,6
Advanced Individual Study,55,4
International Economics,47,4
Senior Design Project Lab,84,6
Public Information Campaigns,33,4
Electrical and Electronic Circuits Lab,59,5
Mechanical Design I,51,6
Construction Planning,44,5
"Human Development and Recreation, Sport and Tourism",87,6
Business Associations I,41,5
Begin Topics Asian Am Studies,38,4
Multisystem Conditions,30,4
Honors Research or Thesis,88,6
Gender &amp; Sexuality in Latina/o Literature,82,6
Small Animal Medicine and Surgery III,37,4
International Experience,87,6
American Political Theory,81,6
Mechanisms of Human Disease,31,4
Disability Design,60,6
Soft Materials Seminar,58,4
Clinical Practice II,44,6
Current Research in Geoscience,51,5
Doing Good through the Nonprofit Sector,70,6
Ballet III,62,5
Sem Romance Ling,36,4
Tap Dance II,45,4
Advanced Double Bass,62,6
Public School Finance,51,6
Introduction to the Media,52,5
Advanced Clinical Cardiology,52,4
Advanced Trumpet,39,5
Professionalization Seminar,75,6
UG Research or Thesis,73,5
Advanced Jazz Piano,55,4
Ecology and Human Health,35,5
Self-designed Clinical Elective,46,5
Orientation Seminar,34,5
PSM Industry Seminar II,87,6
Adv Prac in Mental Hlth II,55,4
Psychopathology and Problems in Living,39,5
American Film Genres,53,6
Graduate Level Bassoon,26,4
Senior Thesis and Honors,30,5
Simulated Clinical Ultrasound,51,4
Pedagogy and Mentoring for Engineering Learning Assistants,64,5
Advanced Jazz Saxophone,53,4
Introduction to Social Design,62,4
Statistical Physics,38,4
PSM Industry Seminar III,42,5
Prop Furniture Construction,53,6
Drawing for Non-Majors,46,5
Control System Theory &amp; Design,73,5
Computation and Music I,67,5
Flute,70,5
Beginning Scandinavian II,71,6
Advanced Filmmaking,57,5
Watching the Environment,59,5
Independent Reading,62,5
Instrumental Methods for Secondary Ensembles,33,5
Prepracticum in SHS,64,6
Linear Algebra with Computational Applications,81,6
Classical &amp; Koine Greek II,75,6
Designing and Managing Orgs,27,4
Risk Analysis in the Geosciences,36,5
Risk Modeling and Analysis,54,6
Global Business Communication,82,6
Special Topics II,27,4
Taxation of Business Entities,73,6
Software Design Lab,54,5
Masterpieces of East Asian Lit,78,6
Collection Development,59,6
Text Mining,69,6
Second-Year Ukrainian II,58,6
Disciplinary Seminar,47,6
Earth Materials and the Env,90,6
ECE Technology &amp; Management,28,4
Interaction Design Foundation,80,6
Elementary Real Analysis,29,4
MCB Honors Discussion,73,5
Biostatistics in Public Health,41,5
Unit One Studio/Seminar,39,4
Mechanics and Thermodynamics of Soft Matter and Biological Materials,31,4
Black Women in the Diaspora,56,4
Advanced Saxophone,49,6
Natural Disasters,43,5
Microbiology Graduate Seminar,63,6
Cities of the World,68,6
Campus Acquaintance Rape Education,58,6
Intro Gender &amp; Women's Studies,59,4
Francophone Worlds,54,6
Mechanical Design II,89,6
Individual Study,61,5
Biochemical Nutrition I,51,6
Introduction to Advertising,27,4
Foundations of Leadership,45,4
Special Problems in Design,33,4
Financial Services &amp; Investing Planning,49,5
Feminist and Queer Activisms,45,5
Medicine - Capstone Project (Longitudinal),59,4
Odysseus and Other Heroes,29,4
Advanced Studies in Geography,47,5
Accelerated Fundamentals of Computing II,55,5
Design: Technology and Performance,42,5
Advanced Undergraduate Open Seminar,32,4
Labor and Social Movements,44,4
Hospitalized Children,72,6
Elementary Organic Chem Lab I,54,5
Disciplinary Literacy,46,5
Greenhouse Mgmt and Production,55,4
Business of Entertainment Design,40,4
Micromanufacturing Process &amp; Automation,67,5
Hydrogeology with Python,73,5
Sports Public Relations,67,5
Advertising and Society,54,5
Development,47,6
Severe and Hazardous Weather,62,5
Polymer Physics,44,4
Equine Infectious Disease,52,5
North American Archeology,63,5
Macroeconomics,84,6
Social Sci of Human Movement,52,6
Applied Regression Analysis,83,6
Jazz Double Bass,62,5
Advanced Topics GWS,43,5
Thesis Seminar,49,5
Beginning Composition,63,5
Modern African American Literature and Culture,40,6
Statistics and Probability I,66,5
Medical Terms-GRK &amp; LAT Roots,32,4
Advanced Jazz Voice,71,6
Advanced Readings in Spanish,40,4
Oboe,45,4
Gov &amp; Pol of China,81,6
Special Topics in Design Thinking,39,4
Data Science for the Geosciences,34,6
Topics in Human-Centered Design &amp; Systems,62,5
Family Conflict Management,45,5
The Finance of Mergers and Acquisitions,84,6
Orchestral Literature II,60,6
Language &amp; Culture of Deaf Communities,80,6
Administration and Use of Archival Materials,60,6
Intermediate Italian II,62,5
Applied Aerospace Structures,28,4
Film Festivals,58,4
Social Perspectives on the Family,56,5
Statistical Learning,73,6
Equine Surgery Laboratory,54,5
Public Transportation Systems,90,6
Modern Dance I,55,4
Heat and Mass Transfer,36,5
Financing Emerging Businesses,65,5
Intermediate Modern Greek II,37,4
Housing &amp; Urban Policy,83,6
Managerial Accounting,37,4
Introduction to Astrophysics,77,6
Higher Education Finance,38,6
Costume Draping,31,5
Introduction to Second Language Teaching,43,4
Field Study &amp; Thesis Seminar,35,4
Writing in the Disciplines,36,6
Seminar in Entomology,43,5
Advanced Topics in Accounting,46,4
Basic Ukrainian II,47,4
General Chemistry Lab II,48,4
Economics of Coordination,35,5
Modeling App's Finan Plan,55,6
Paleoclimatology,55,5
On-Camera Performance for UI7,85,6
Cognitive Psych Lab,68,6
Independent Research,72,6
Exploring the iSchool with a Human-Centered Lens,70,5
Teaching and Assessing Secondary School Students,35,6
Topics in Economics,70,5
Materials for Nanotechnology,89,6
Western Worlds: Ancient and Medieval Societies from the Mediterranean to Northern Europe,81,6
Design Workshop G-II,57,4
Individual Study and Research,37,4
Engrg Measurement Systems,49,4
Individual Field Data Analysis,64,5
"Diversity in Recreation, Sport, and Tourism",40,4
"Chemistry, Everyday Phenomena",55,5
Dispute Resolution,44,4
Repertory Jazz Orchestra,69,6
Dissertation Research,31,4
Exercise Instruction &amp; Elderly,64,5
Senior Research Project,35,4
Real Estate Finance,69,6
Psychiatry Clerkship,56,4
Principles Bus Comm,43,5
Genes and Behavior,40,4
Supp WW Inst: Bassoon,42,4
Evolution of Warfare,56,5
Asian Families in America,43,6
Financial Statement Analysis and Valuation,44,4
Game Theory,53,5
Freshman Honors Tutorial,39,5
Dem Gov in a Global Setting,83,6
Development Activities,43,6
